Date,Symbol,Open,High,Low,Close,Volume,Pct_Change
2023-06-06,AAPL,179.965,180.12,177.43,179.21,64848374,-0.21
2023-06-07,AAPL,178.44,181.21,177.32,177.82,61944615,-0.78
2023-06-08,AAPL,177.895,180.84,177.46,180.57,50214881,1.55
2023-06-09,AAPL,181.5,182.23,180.63,180.96,48899973,0.22
2023-06-12,AAPL,181.27,183.89,180.97,183.79,54754995,1.56
2023-06-13,AAPL,182.8,184.15,182.44,183.31,54929129,-0.26
2023-06-14,AAPL,183.37,184.39,182.02,183.95,57462882,0.35
2023-06-15,AAPL,183.96,186.52,183.78,186.01,65433166,1.12
2023-06-16,AAPL,186.73,186.99,184.27,184.92,101256225,-0.59
2023-06-20,AAPL,184.41,186.1,184.41,185.01,49799092,0.05
2023-06-21,AAPL,184.9,185.41,182.5901,183.96,49515697,-0.57
2023-06-22,AAPL,183.74,187.045,183.67,187.0,51245327,1.65
2023-06-23,AAPL,185.55,187.56,185.01,186.68,53116996,-0.17
2023-06-26,AAPL,186.83,188.05,185.23,185.27,48088661,-0.76
2023-06-27,AAPL,185.89,188.39,185.67,188.06,50730846,1.51
2023-06-28,AAPL,187.93,189.9,187.6,189.25,51216801,0.63
2023-06-29,AAPL,189.08,190.07,188.94,189.59,46347308,0.18
2023-06-30,AAPL,191.63,194.48,191.26,193.97,85213216,2.31
2023-07-03,AAPL,193.78,193.88,191.76,192.46,31458198,-0.78
2023-07-05,AAPL,191.565,192.98,190.62,191.33,46920261,-0.59
2023-07-06,AAPL,189.84,192.02,189.2,191.81,45156009,0.25
2023-07-07,AAPL,191.41,192.67,190.24,190.68,46814998,-0.59
2023-07-10,AAPL,189.26,189.99,187.035,188.61,59922163,-1.09
2023-07-11,AAPL,189.16,189.3,186.6,188.08,46638119,-0.28
2023-07-12,AAPL,189.68,191.7,188.47,189.77,60750248,0.9
2023-07-13,AAPL,190.5,191.19,189.78,190.54,41342338,0.41
2023-07-14,AAPL,190.23,191.1799,189.63,190.69,41616242,0.08
2023-07-17,AAPL,191.9,194.32,191.81,193.99,50520159,1.73
2023-07-18,AAPL,193.35,194.33,192.415,193.73,48353774,-0.13
2023-07-19,AAPL,193.1,198.23,192.65,195.1,80507323,0.71
2023-07-20,AAPL,195.09,196.47,192.495,193.13,59581196,-1.01
2023-07-21,AAPL,194.1,194.97,191.23,191.94,71951683,-0.62
2023-07-24,AAPL,193.41,194.91,192.25,192.75,45505097,0.42
2023-07-25,AAPL,193.33,194.44,192.915,193.62,37283201,0.45
2023-07-26,AAPL,193.67,195.64,193.32,194.5,47471868,0.45
2023-07-27,AAPL,196.02,197.2,192.55,193.22,47460180,-0.66
2023-07-28,AAPL,194.67,196.626,194.14,195.83,48291443,1.35
2023-07-31,AAPL,196.06,196.49,195.26,196.45,38824113,0.32
2023-08-01,AAPL,196.235,196.73,195.28,195.605,35281426,-0.43
2023-08-02,AAPL,195.04,195.18,191.8507,192.58,50389327,-1.55
2023-08-03,AAPL,191.57,192.37,190.69,191.17,62243282,-0.73
2023-08-04,AAPL,185.52,187.38,181.92,181.99,115956841,-4.8
2023-08-07,AAPL,182.13,183.13,177.35,178.85,97576069,-1.73
2023-08-08,AAPL,179.69,180.27,177.58,179.8,67823003,0.53
2023-08-09,AAPL,180.87,180.93,177.01,178.19,60378492,-0.9
2023-08-10,AAPL,179.48,180.75,177.6,177.97,54686851,-0.12
2023-08-11,AAPL,177.32,178.62,176.55,177.79,52036672,-0.1
2023-08-14,AAPL,177.97,179.69,177.305,179.46,43675627,0.94
2023-08-15,AAPL,178.88,179.48,177.05,177.45,43622593,-1.12
2023-08-16,AAPL,177.13,178.54,176.5,176.57,46964857,-0.5
2023-08-17,AAPL,177.14,177.5054,173.48,174.0,66062882,-1.46
2023-08-18,AAPL,172.3,175.1,171.96,174.49,61172150,0.28
2023-08-21,AAPL,175.07,176.13,173.735,175.84,46311879,0.77
2023-08-22,AAPL,177.06,177.68,176.25,177.23,42084245,0.79
2023-08-23,AAPL,178.52,181.55,178.325,181.12,52722752,2.19
